Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,4,4,2,1,4,2,3,5,1,3,0,2,5,4,0,0,5,4,0,1
Avatar: The Way of Water,James Cameron,192 min,2022,3,1,2,4,3,1,2,0,0,3,1,1,1,4,4,4,4,4,5,2
Plane,Jean-François Richet,107 min,2023,5,3,1,3,1,3,2,4,4,0,0,5,3,3,3,0,5,0,2,0
Everything Everywhere All at Once,Daniel Scheinert,139 min,2022,3,3,2,5,0,2,4,0,3,0,3,4,3,3,1,2,5,1,3,0
Fast X,Louis Leterrier,100min,2023,5,2,3,4,4,3,3,4,0,3,0,3,2,0,0,0,5,2,2,0
Ant-Man and the Wasp: Quantumania,Peyton Reed,125 min,2023,0,0,1,5,0,5,2,5,5,3,5,2,1,1,2,2,1,1,4,1
Shotgun Wedding,Jason Moore,100 min,2022,3,0,1,2,2,5,0,5,1,0,2,3,2,0,1,4,5,4,5,2
Bullet Train,David Leitch,127 min,2022,2,0,0,4,0,5,0,5,5,1,3,2,3,2,5,3,3,0,1,0
All Quiet on the Western Front,Edward Berger,148 min,2022,3,0,3,5,1,4,3,1,5,4,5,0,0,2,1,5,3,5,3,4
Top Gun: Maverick,Joseph Kosinski,130 min,2022,3,5,3,1,3,1,4,4,4,2,1,4,2,4,0,0,3,3,1,4
Pathaan,Siddharth Anand,146 min,2023,3,0,5,0,1,5,5,1,1,0,1,4,2,2,2,1,4,5,3,3
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,1,3,0,5,2,0,0,0,1,0,2,5,5,1,2,4,5,2,2,5
Black Panther,Ryan Coogler,134 min,2018,0,1,4,1,2,0,3,1,0,1,5,2,0,1,3,2,2,5,1,4
The Batman,Matt Reeves,176 min,2022,2,5,3,4,1,0,5,4,5,5,5,4,1,3,3,5,5,5,5,4
Top Gun,Tony Scott,109 min,1986,3,0,0,5,3,2,4,0,2,5,2,0,0,4,0,5,4,1,2,3
Avatar,James Cameron,162 min,2009,2,3,4,5,1,1,0,1,3,0,0,3,1,3,0,0,0,0,5,4
The Wandering Earth II,Frant Gwo,173 min,2023,3,2,0,1,5,2,0,4,2,3,3,1,1,0,0,5,0,5,0,1
Black Adam,Jaume Collet-Serra,125 min,2022,1,0,3,1,4,0,5,5,1,5,2,3,4,5,1,5,2,4,0,1
Operation Fortune: Ruse de guerre,Guy Ritchie,114 min,2023,1,3,5,5,1,2,1,5,0,0,5,3,5,5,0,2,4,2,4,4
Jurassic World: Dominion,Colin Trevorrow,147 min,2022,2,1,3,1,0,4,5,2,1,3,0,5,2,4,5,0,4,5,5,3
The Hunger Games,Gary Ross,142 min,2012,0,3,1,2,3,1,4,4,2,0,4,3,5,3,3,3,5,0,1,4
Devotion,J.D. Dillard,139 min,2022,4,2,3,2,2,5,0,4,4,1,4,5,5,0,2,1,5,0,0,5
The Northman,Robert Eggers,137 min,2022,1,1,0,4,0,5,3,0,5,2,1,4,0,1,3,3,2,1,4,3
Dune,Denis Villeneuve,155 min,2021,3,0,2,2,4,1,0,2,5,4,0,5,0,3,4,4,3,3,1,2
The Flash,Andy Muschietti,140min,2023,5,5,1,1,2,3,3,5,2,0,0,0,0,3,2,3,0,3,3,5
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,3,2,0,2,5,2,2,0,3,1,4,2,3,1,5,1,1,1,0,5
