Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,4,3,3,5,3,0,0,1,3,5,1,0,2,0,0,2,4,4,2,1
Avatar: The Way of Water,James Cameron,162 min,2022,2,1,2,4,3,3,5,5,0,5,0,5,0,1,5,4,5,5,2,1
Everything Everywhere All at Once,"Dan Kwan, 
Daniel Scheinert",163 min,2022,0,1,2,0,0,0,3,5,0,2,0,3,1,5,2,3,0,3,2,3
Puss in Boots: The Last Wish,"Joel Crawford, 
Januel Mercado",164 min,2022,2,5,1,4,5,4,5,4,4,0,2,5,2,2,3,1,0,4,4,3
Ant-Man and the Wasp: Quantumania,Peyton Reed,165 min,2023,0,4,4,1,0,4,2,3,1,2,4,5,5,5,2,4,5,0,1,4
True Spirit,Sarah Spillane,166 min,2023,3,1,1,4,3,2,2,3,5,3,5,1,0,1,5,2,1,5,0,4
Pathaan,Siddharth Anand,167 min,2023,0,5,0,5,0,0,0,0,4,2,3,2,5,3,4,1,1,3,2,2
"Lyle, Lyle, Crocodile","Josh Gordon, 
Will Speck",168 min,2022,5,0,5,5,3,3,5,0,1,2,3,5,1,0,4,2,0,2,0,0
Black Panther,Ryan Coogler,169 min,2018,5,4,1,2,1,3,4,3,4,5,2,5,1,2,4,3,3,5,0,2
Avatar,James Cameron,170 min,2009,2,1,3,0,3,1,5,1,3,4,1,4,2,5,2,2,1,2,1,1
The Super Mario Bros. Movie,"Aaron Horvath, 
Michael Jelenic",171 min,2023,0,2,2,5,1,1,2,5,3,3,5,2,1,2,0,5,1,0,1,4
The Wandering Earth II,Frant Gwo,172 min,2023,5,4,1,2,4,1,0,5,5,0,4,5,2,2,5,2,2,4,3,2
Harry Potter and the Sorcerer's Stone,Chris Columbus,173 min,2001,3,5,2,1,3,4,0,2,5,0,4,0,1,3,2,4,1,4,2,4
Black Adam,Jaume Collet-Serra,174 min,2022,2,3,4,0,4,1,2,4,3,0,1,0,1,5,5,2,5,1,1,3
Interstellar,Christopher Nolan,175 min,2014,2,2,5,1,3,5,2,5,4,0,4,3,3,5,3,1,4,5,1,3
Jurassic World: Dominion,Colin Trevorrow,176 min,2022,0,2,2,1,3,0,3,1,5,4,4,5,2,4,2,1,2,5,5,0
The Hunger Games,Gary Ross,177 min,2012,3,3,2,3,5,1,5,2,3,3,3,0,0,1,3,0,5,2,5,2
The Northman,Robert Eggers,178 min,2022,3,4,1,1,4,4,2,5,4,3,0,2,1,2,2,2,3,5,2,4
Dune,Denis Villeneuve,179 min,2021,3,1,4,2,1,3,1,3,5,5,0,0,3,0,2,5,5,3,2,0
The Flash,Andy Muschietti,180 min,2023,0,2,1,5,0,2,0,3,2,1,1,2,0,1,2,5,1,2,0,1
RRR,S.S. Rajamouli,181 min,2022,1,3,5,1,4,5,3,5,4,1,1,4,5,4,4,3,5,0,5,5
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,182 min,2001,3,3,4,3,3,4,1,3,5,4,2,2,4,5,2,1,2,3,1,4
Thor: Love and Thunder,Taika Waititi,183 min,2022,3,3,3,3,0,2,3,0,4,3,5,5,0,3,1,3,3,5,4,3
Dungeons & Dragons: Honor Among Thieves,"John Francis Daley, 
Jonathan Goldstein",184 min,2023,1,0,3,3,3,4,5,4,5,4,2,4,0,4,2,4,0,0,1,5
Inception,Christopher Nolan,185 min,2010,4,4,5,4,4,3,3,3,2,1,0,1,2,3,2,2,5,3,1,3
Spider-Man: No Way Home,Jon Watts,186 min,2021,2,0,5,1,3,3,2,4,1,3,4,2,0,0,0,1,3,3,2,1
Asterix & Obelix: The Middle Kingdom,Guillaume Canet,187 min,2023,5,5,4,3,0,0,1,5,2,3,2,3,5,2,1,3,4,5,0,2
Indiana Jones and the Dial of Destiny,James Mangold,188 min,2023,4,0,0,3,5,1,5,5,4,3,4,5,0,1,4,3,2,4,1,2
Gladiator,Ridley Scott,189 min,2000,0,4,2,5,1,4,1,4,4,2,5,2,4,1,4,3,5,0,3,4
The Little Mermaid,Rob Marshall,190 min,2023,4,3,0,4,0,4,2,5,3,0,4,0,3,4,5,4,3,1,5,4
Avengers: Endgame,"Anthony Russo, 
Joe Russo",191 min,2019,3,2,5,3,1,3,5,2,5,1,3,4,4,5,0,0,0,2,3,5
65,"Scott Beck, 
Bryan Woods",192 min,2023,2,1,5,1,0,5,5,2,3,4,1,1,0,4,2,0,2,3,3,3
Strange World,"Don Hall, 
Qui Nguyen",193 min,2022,2,4,2,4,3,3,5,3,5,2,1,0,5,2,2,4,5,5,1,1
Guardians of the Galaxy Vol. 3,James Gunn,194 min,2023,2,2,1,2,2,0,0,0,2,4,2,0,0,0,2,2,4,1,0,2
Arctic,Joe Penna,195 min,2018,1,4,3,4,5,1,1,4,0,5,5,2,5,0,5,1,5,3,0,4
Puss in Boots,Chris Miller,196 min,2011,0,1,3,4,4,1,0,5,1,1,4,3,4,0,2,5,3,5,3,0
Barbie,Greta Gerwig,197 min,2023,2,1,3,0,4,1,5,2,4,2,1,0,5,3,4,2,5,5,5,1
Raiders of the Lost Ark,Steven Spielberg,198 min,1981,1,2,0,0,4,1,0,2,1,0,4,5,1,5,4,4,5,5,0,0
Minions: The Rise of Gru,"Kyle Balda, 
Brad Ableson, 
Jonathan del Val",199 min,2022,3,1,4,2,3,5,4,5,1,4,4,4,5,4,3,4,3,1,2,0
Independence Day,Roland Emmerich,200 min,1996,4,4,2,4,3,5,4,2,4,4,0,0,1,1,3,3,4,5,3,5
The Expendables 4,Scott Waugh,201 min,2023,1,3,2,5,1,3,1,2,1,5,5,3,2,0,5,5,3,5,2,0
Inglourious Basterds,Quentin Tarantino,202 min,2009,0,4,5,0,3,3,3,2,1,1,3,2,1,1,1,0,5,3,3,0
The Amazing Maurice,"Toby Genkel, 
Florian Westermann",203 min,2022,4,5,0,0,3,4,5,2,2,3,2,5,4,3,4,3,5,2,0,0
No Time to Die,Cary Joji Fukunaga,204 min,2021,3,0,4,2,5,0,1,3,0,0,3,1,4,1,5,0,4,3,3,0
Uncharted,Ruben Fleischer,205 min,2022,2,4,2,1,1,4,3,4,2,5,3,0,0,4,4,3,0,4,3,1
Strays,Josh Greenbaum,206 min,2023,1,2,5,5,5,3,2,3,0,5,4,3,0,0,0,0,2,1,0,4
Vesper,"Kristina Buozyte, 
Bruno Samper",207 min,2022,2,3,4,5,1,5,5,0,5,3,4,3,5,2,3,2,3,2,5,2
Shazam! Fury of the Gods,David F. Sandberg,208 min,2023,2,0,4,3,2,1,3,0,3,1,1,1,0,0,1,0,4,3,5,5
Harry Potter and the Goblet of Fire,Mike Newell,209 min,2005,2,4,0,1,3,0,3,4,5,0,1,4,1,3,0,0,5,4,1,4
The Suicide Squad,James Gunn,210 min,2021,5,0,4,4,3,0,1,1,4,4,4,0,5,5,0,4,2,3,5,1
The Mummy,Stephen Sommers,211 min,1999,3,2,4,0,1,4,2,4,3,3,3,1,0,4,3,2,4,3,3,5
Back to the Future,Robert Zemeckis,212 min,1985,2,5,0,0,3,1,0,4,2,4,1,0,1,3,2,1,5,5,3,2
Jurassic Park,Steven Spielberg,213 min,1993,1,5,3,4,1,0,1,5,3,5,5,2,1,2,0,0,2,2,2,0
Kingsman: The Golden Circle,Matthew Vaughn,214 min,2017,3,4,0,4,0,0,5,5,4,1,4,0,1,0,0,4,2,0,3,0
The Goonies,Richard Donner,215 min,1985,0,3,3,2,1,4,4,4,5,2,0,1,5,0,4,5,3,4,0,4
Willow,Ron Howard,216 min,1988,4,5,1,4,0,0,1,4,0,4,4,5,3,0,2,0,2,3,5,1
The Grand Budapest Hotel,Wes Anderson,217 min,2014,4,3,5,0,3,0,4,1,1,0,5,0,2,4,0,1,1,2,4,3
Edge of Tomorrow,Doug Liman,218 min,2014,3,0,1,3,2,0,2,0,5,1,0,2,1,4,4,3,4,1,2,3
Dances with Wolves,Kevin Costner,219 min,1990,3,1,5,0,5,2,3,2,5,3,4,0,3,5,0,2,5,1,0,2
The Lord of the Rings: The Return of the King,Peter Jackson,220 min,2003,3,0,2,2,2,3,1,2,4,3,0,3,3,0,4,1,4,5,2,2
Sing 2,"Garth Jennings, 
Christophe Lourdelet",221 min,2021,4,2,4,2,0,0,5,4,1,5,0,5,0,4,0,1,1,5,5,4
The Lost City,"Aaron Nee, 
Adam Nee",222 min,2022,5,2,3,4,2,5,0,4,4,5,5,5,3,5,3,5,5,3,0,5
The Blue Lagoon,Randal Kleiser,223 min,1980,2,0,3,2,0,3,3,3,4,1,3,1,3,3,2,2,3,2,5,3
Dune: Part Two,Denis Villeneuve,224 min,2023,3,3,0,1,1,1,1,5,4,4,0,1,1,1,4,3,3,3,4,5
The Hunger Games: Catching Fire,Francis Lawrence,225 min,2013,5,1,1,3,0,3,2,0,0,2,4,2,4,2,1,2,1,1,2,4
The King's Man,Matthew Vaughn,226 min,2021,0,1,1,0,4,4,5,1,5,5,2,5,5,1,1,4,0,0,1,4
Doctor Strange in the Multiverse of Madness,Sam Raimi,227 min,2022,2,0,3,3,4,4,1,4,0,5,3,2,2,2,3,4,0,2,5,2
Beast,Baltasar Kormákur,228 min,2022,5,2,3,3,0,1,5,3,1,4,3,3,0,3,3,2,1,3,4,1
Eternals,Chloé Zhao,229 min,2021,0,2,2,3,1,0,4,5,4,3,4,0,0,3,3,4,4,1,2,4
Harry Potter and the Deathly Hallows: Part 2,David Yates,230 min,2011,0,1,4,5,5,4,0,0,4,3,0,3,4,4,1,5,0,3,0,2
Guardians of the Galaxy,James Gunn,231 min,2014,2,4,2,5,3,0,3,2,4,4,0,3,0,2,2,0,5,0,4,4
The Princess Bride,Rob Reiner,232 min,1987,2,5,3,1,1,2,1,0,5,3,1,5,1,3,4,2,3,2,2,5
Wonka,Paul King,233 min,2023,0,0,3,1,0,5,5,4,1,2,1,2,4,3,5,1,2,4,3,1
Prey,Dan Trachtenberg,234 min,2022,3,0,4,3,5,4,3,1,0,2,4,5,5,5,1,2,5,0,2,1
Mad Max: Fury Road,George Miller,235 min,2015,0,0,5,3,4,4,5,2,0,1,0,5,3,5,5,4,2,2,1,5
Free Guy,Shawn Levy,236 min,2021,2,5,5,5,4,2,3,3,1,3,4,5,2,4,2,3,3,1,0,2
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,237 min,2004,4,1,1,1,4,1,1,4,5,0,0,0,0,4,0,3,2,0,4,4
Star Wars,George Lucas,238 min,1977,3,4,1,5,5,0,4,2,4,3,4,3,2,2,1,3,3,0,0,3
GoldenEye,Martin Campbell,239 min,1995,1,5,2,1,2,1,1,5,3,1,3,2,0,4,3,2,1,0,0,1
Fantastic Beasts: The Secrets of Dumbledore,David Yates,240 min,2022,2,0,0,0,1,5,2,0,0,1,5,5,1,1,2,0,5,3,4,1
