Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Puss in Boots: The Last Wish,"Joel Crawford, Januel Mercado",102min,2022,4,1,5,4,0,4,4,2,5,4,5,0,3,0,2,3,2,5,0,0
The Super Mario Bros. Movie,"Aaron Horvath,Michael Jelenic",92min,2023,5,3,1,0,2,3,3,5,4,3,2,0,4,4,0,3,2,2,1,4
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,Haruo Sotozaki,110min,2023,0,0,4,1,3,2,2,3,1,2,0,2,1,1,1,3,4,2,1,0
Guillermo del Toro's Pinocchio,"Guillermo del Toro,Mark Gustafson",117min,2022,1,2,1,2,1,0,5,0,1,3,4,1,4,0,0,0,2,1,3,2
"Lyle, Lyle, Crocodile","Josh Gordon, Will Speck",106min,2022,1,5,1,1,5,3,1,4,0,3,5,1,5,0,5,4,1,3,4,3
The Lion King,Jon Favreau,118min,2019,1,4,4,5,3,2,1,5,5,5,5,1,0,0,1,5,1,5,3,3
Marcel the Shell with Shoes On,Dean Fleischer Camp,90min,2021,4,2,1,4,0,1,1,4,5,3,2,4,1,0,0,0,2,1,0,5
Encanto,"Jared Bush, Byron Howard,Charise Castro Smith",102min,2021,5,2,1,4,1,1,1,3,1,2,4,3,3,0,0,2,5,1,5,2
Sing 2,"Garth Jennings, Christophe Lourdelet",110 min,2021,2,2,3,2,3,1,4,3,2,4,3,5,2,5,5,0,1,0,5,5
Mummies,Juan Jes�s Garc�a Galocha,88 min,2023,0,0,2,0,1,0,1,3,3,4,1,4,5,4,0,1,3,3,2,4
Puss in Boots,Chris Miller,90 min,2011,1,1,2,1,4,2,0,2,2,4,2,5,4,2,1,5,5,1,4,1
Spider-Man,"Bob Persichetti, Peter Ramsey, Rodney Rothman",117 min,2018,0,2,5,1,4,0,0,1,4,4,5,4,1,5,5,0,5,0,4,1
The Lion King,"Roger Allers, Rob Minkoff",88 min,1994,5,2,4,3,0,1,3,2,5,0,0,2,5,5,5,3,2,5,2,1
Strange World,"Don Hall, Qui Nguyen",102 min,2022,5,1,1,2,0,2,3,0,5,2,3,4,3,0,2,5,4,5,0,5
Cars,"John Lasseter, Joe Ranft",117 min,2006,1,1,5,4,4,0,5,0,0,3,0,4,2,4,4,3,3,0,5,1
