Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Fast X,Louis Leterrier,141min,2023,2,3,0,5,2,1,3,0,1,2,5,2,2,1,4,5,2,1,4,3
Glass Onion,Rian Johnson,139 min,2022,5,2,3,2,3,4,5,2,0,4,5,2,4,4,5,3,4,4,2,2
Infinity Pool,Brandon Cronenberg,117 min,2023,1,3,1,3,4,3,2,4,3,5,4,4,3,3,3,4,1,3,0,2
The Pale Blue Eye,Scott Cooper,128 min,2022,1,2,5,4,4,0,5,2,1,2,0,1,1,3,1,2,2,0,1,1
Infiesto,Patxi Amezcua,96 min,2023,3,1,2,0,0,5,4,5,3,2,2,3,1,0,5,2,3,3,2,1
The Batman,Matt Reeves,176 min,2022,5,4,2,5,2,5,0,1,0,4,0,0,3,4,4,5,5,0,0,4
The Godfather,Francis Ford Coppola,175 min,1972,1,4,0,1,1,5,0,1,2,0,0,0,1,1,2,1,2,2,1,5
Knives Out,Rian Johnson,130 min,2019,5,1,1,2,1,3,4,3,1,3,4,3,3,5,4,0,1,3,3,3
Vadh,"Jaspal Singh Sandhu, 
Rajeev Barnwal",110 min,2022,0,1,3,5,3,1,3,4,3,3,2,2,0,5,3,2,1,1,2,5
The Wolf of Wall Street,Martin Scorsese,180 min,2013,2,4,0,4,0,5,5,2,3,1,0,2,0,2,0,1,1,0,2,3
The Unbearable Weight of Massive Talent,Tom Gormican,107 min,2022,2,1,1,3,3,3,0,4,0,1,2,3,0,5,4,2,2,2,0,4
Pulp Fiction,Quentin Tarantino,154 min,1994,3,2,5,0,5,5,0,3,5,5,0,5,3,0,2,0,0,2,3,4
The Covenant,Guy Ritchie,123min,2023,4,4,1,5,0,0,1,4,5,0,2,3,2,1,0,5,3,3,5,3
The Dark Knight,Christopher Nolan,152 min,2008,0,0,5,5,0,5,3,0,0,0,3,2,0,0,2,3,3,0,3,3
American Psycho,Mary Harron,102 min,2000,0,3,5,3,4,3,3,4,3,3,0,5,2,2,0,1,3,5,3,2
John Wick: Chapter 4,Chad Stahelski,169 min,2023,4,2,1,4,0,0,1,1,3,5,2,1,2,5,3,5,1,4,1,5
Decision to Leave,Park Chan-wook,139 min,2022,0,2,3,3,2,0,4,1,5,5,2,2,1,1,0,4,2,1,0,0
Little Dixie,John Swab,105 min,2023,1,1,0,2,1,0,0,2,3,2,3,0,3,3,0,2,2,2,1,1
An Action Hero,Anirudh Iyer,130 min,2022,2,2,3,2,0,3,5,0,2,1,5,4,1,5,0,0,5,5,1,5
Killers of the Flower Moon,Martin Scorsese,206min,2023,5,5,4,1,0,3,2,0,0,1,0,4,3,0,5,0,2,1,2,3
Luther: The Fallen Sun,Jamie Payne,129 min,2023,1,2,1,3,4,2,4,2,5,5,3,1,4,0,5,1,3,5,5,3
John Wick,"Chad Stahelski, 
David Leitch",101 min,2014,2,3,2,4,4,5,5,2,3,4,4,2,0,0,1,3,0,4,3,2
The Gentlemen,Guy Ritchie,113 min,2019,4,2,0,1,2,4,1,1,2,4,2,2,2,5,2,3,5,4,5,3
F9: The Fast Saga,Justin Lin,143 min,2021,5,5,1,0,2,0,4,5,4,3,5,5,3,3,3,4,3,5,0,5
Violent Night,Tommy Wirkola,112 min,2022,0,2,2,5,1,2,1,4,4,2,4,3,2,0,5,5,4,5,5,3
Nobody,Ilya Naishuller,92 min,2021,1,3,5,4,2,5,4,4,3,4,1,2,0,5,2,2,5,5,0,4
Prisoners,Denis Villeneuve,153 min,2013,2,1,2,2,5,3,0,0,5,3,5,2,2,5,3,1,3,1,0,2
Catch Me If You Can,Steven Spielberg,141 min,2002,0,3,3,4,5,0,3,3,0,1,3,5,4,5,1,5,4,4,0,4
Minions: The Rise of Gru,"Kyle Balda, 
Brad Ableson, 
Jonathan del Val",87 min,2022,4,3,4,3,2,3,5,3,4,1,4,5,1,5,1,4,1,1,2,3
Joker,Todd Phillips,122 min,2019,0,0,0,4,3,1,0,5,5,1,1,4,0,0,0,3,5,1,2,1
The Fast and the Furious,Rob Cohen,106 min,2001,2,1,1,4,5,1,1,2,3,1,0,3,3,0,5,2,0,3,5,3
In Bruges,Martin McDonagh,107 min,2008,4,1,5,4,2,4,3,3,3,1,5,5,5,4,0,4,1,2,4,3
