Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Babylon,Damien Chazelle,189 minutes,2022,3,5,2,4,2,0,3,2,0,5,3,0,3,3,0,5,3,1,0,3
Amsterdam,David O. Russell,134 minutes,2022,3,1,3,4,0,5,1,0,1,4,0,2,5,4,5,2,3,5,5,1
The Northman,Robert Eggers,137 minutes,2022,1,2,1,5,5,3,1,5,2,3,5,1,5,2,1,2,2,1,1,5
Narvik: Hitler's First Defeat,Erik Skjoldbj�rg,108 minutes,2022,2,2,3,5,4,3,3,2,0,5,5,5,3,5,1,4,5,1,1,0
The Woman King,Gina Prince-Bythewood,135 minutes,2022,3,0,5,5,2,1,3,4,0,1,5,5,2,2,1,4,1,3,5,4
Oppenheimer,Christopher Nolan,180 minutes,2023,0,3,2,2,1,1,3,5,3,2,4,5,1,3,2,4,5,1,3,4
Killers of the Flower Moon,Martin Scorsese,206 minutes,2023,3,3,5,2,1,0,4,0,1,2,4,2,5,5,5,0,3,1,5,1
Schindler's List,Steven Spielberg,195 minutes,1993,4,2,0,2,5,4,3,3,3,2,1,3,5,0,2,2,3,3,5,0
She Said,Maria Schrader,129 minutes,2022,1,3,4,0,0,4,3,3,1,1,1,5,0,3,2,1,3,0,2,2
Dunkirk,Christopher Nolan,106 minutes,2017,1,4,2,1,5,0,2,4,2,3,0,1,5,0,2,4,2,0,5,4
Hidden Figures,Theodore Melfi,127 minutes,2016,5,3,1,0,4,5,3,3,5,1,1,3,5,0,0,5,0,5,0,1
Till,Chinonye Chukwu,130 minutes,2022,3,5,4,1,3,5,2,5,4,4,3,0,1,4,1,2,3,2,5,3
Mission Majnu,Shantanu Bagchi,129 minutes,2023,3,1,5,1,0,1,1,3,0,4,0,0,2,3,2,0,2,0,4,5
Hacksaw Ridge,Mel Gibson,139 minutes,2016,3,3,4,0,4,1,2,3,3,1,3,2,1,5,3,1,0,2,3,3
Medieval,Petr J�kl,126 minutes,2022,0,1,2,1,0,1,2,3,2,5,0,0,0,0,5,3,5,1,5,0
