Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Knock at the Cabin,M. Night Shyama lan,100min,2023,1,3,5,3,3,3,4,0,3,3,2,3,5,2,2,0,2,4,5,2
The Menu,Mark Mylod,106min,2022,2,3,4,1,2,1,2,2,2,5,0,4,0,5,1,4,4,2,3,2
M3GAN,Gerard Johnstone,102min ,2022,5,2,3,1,0,2,3,0,3,2,0,1,5,5,4,1,1,2,3,1
Viking Wolf,Stig Svendse,97min,2023,4,0,5,2,0,0,5,3,2,4,2,1,4,1,1,1,3,0,4,3
Infinity Pool,Brandon Cronenberg,117min,2023,3,5,0,3,0,5,3,0,4,2,1,5,2,3,0,5,4,5,5,1
Scream VI,"Matt Bettinell I-Olpin, Tyler Gillett",123min,2022,1,1,5,4,3,4,0,5,2,3,3,5,1,1,0,3,5,2,2,0
The Pale Blue Eye,Scott Cooper,128min,2022,1,4,2,2,1,3,1,4,0,0,0,1,5,5,3,0,3,3,1,2
X,Ti West,105min,2023,3,0,5,4,0,4,0,0,5,1,2,1,2,2,5,4,2,0,2,2
Winnie the Pooh: Blood and Honey,Rhys Frake=W aterfield,84min,2022,4,4,4,2,1,4,1,1,2,1,5,2,5,3,2,3,3,4,1,2
Blood,Brad Anderson,108min,2022,4,1,2,2,0,4,3,5,3,5,4,5,0,1,3,3,3,4,4,5
Skinamarink, Kyle Edward Ball,100min,2022,5,3,1,3,1,3,2,3,4,5,0,3,3,2,1,5,3,0,5,0
Barbarian,Zack Cregger,102min ,2022,2,0,2,5,5,3,0,3,2,4,1,4,5,4,2,3,2,3,4,1
Pearl,Ti West,102min ,2022,0,0,3,3,5,0,4,3,4,1,5,1,3,5,1,1,0,0,1,1
Smile,Parker Finn,115min,2022,0,4,0,2,2,3,4,1,2,0,2,2,5,3,2,2,4,0,1,2
Nope,Jorden Peele,130mn,2022,4,4,0,4,1,5,0,3,1,5,2,1,4,5,2,0,5,4,3,1
Jeepers Creepers: Reborn,Timo Vuorensola,88mn,2022,3,4,3,4,2,1,1,3,3,0,0,2,3,1,4,5,4,3,3,3
Bones and All,Luca Guadag nino,131mn,2022,5,5,3,4,5,2,1,3,0,3,0,0,4,5,1,1,5,5,0,3
Scream,"Matt Bettinell I-Olpin, Tyler Gillett",114mn,2022,1,2,1,2,0,4,1,1,4,1,3,3,4,4,3,4,1,0,3,4
American Psycho,Mary Harron,102mn,2000,0,5,1,4,0,1,5,0,5,2,3,2,3,5,1,4,0,1,4,5
Five Nights at Freddy's,Emma Tammi,110mn,2023,0,3,2,1,1,1,4,4,4,0,0,5,3,1,3,2,5,1,5,1
Old,M. Night Shyama lan,108mn,2021,4,1,0,2,4,4,3,5,5,1,2,0,3,5,3,2,0,5,1,3
Midsommar,Ari Aster,148mn,2019,1,4,3,5,3,0,1,2,2,3,0,4,4,1,0,5,3,2,4,1
The Black Phone,Scott Derrickson,103mn,2021,3,0,0,4,5,4,5,0,5,2,0,1,5,3,5,4,3,5,1,1
The Boogeyman,Rob Savage,98mn,2023,0,2,5,5,1,0,1,1,3,2,2,1,0,0,3,2,0,3,4,5
Hereditary,Ari Aster,127mn,2018,2,3,4,4,0,5,0,3,2,5,0,5,3,1,1,5,0,4,5,0
White Noise,Noah Baumbach,136mn,2022,1,4,4,3,1,0,3,1,3,3,1,5,0,0,1,3,2,0,4,4
Venus,Jaume Balague ró,100mn,2022,3,3,1,5,1,3,5,3,4,3,0,1,0,3,0,3,3,0,2,3
Terrifier 2,Damien Leone,138mn,2022,5,1,0,2,4,3,5,0,5,3,4,1,3,4,3,4,1,4,0,4
Split,M. Night Shyama lan,117mn,2022,4,4,0,3,1,1,1,5,5,1,2,5,4,1,4,5,3,2,4,5
Sick,John Hyams,83mn,2022,2,1,1,4,5,3,0,2,0,0,5,4,3,3,0,5,5,0,0,0
Get Out,Jorden Peele,104mn,2017,4,3,4,2,1,0,0,3,0,2,2,4,2,0,4,5,3,3,5,0
Scream,Wes Craven,111mn,1996,2,5,5,2,2,2,0,4,5,5,5,0,1,2,1,5,1,0,3,5
Men,Alex Garland,100mn,2022,2,1,4,0,2,0,3,4,3,0,0,1,4,4,0,5,2,3,3,1
Bodies Bodies Bodies,Halina Reijn,94mn,2022,4,0,1,3,2,5,4,1,5,4,2,2,1,2,0,0,2,5,0,5
Doctor Strange in the Multiverse of Madness,Sam Raimi,126mn,2022,5,1,0,0,5,0,5,0,0,2,1,3,5,3,0,4,1,4,0,0
Beast,Baltasar Kormákur,93mn,2022,3,0,3,0,4,5,5,0,0,4,0,0,0,5,1,4,0,1,2,3
Alien,Ridley Scott,117mn,1979,5,2,0,2,1,4,0,5,3,3,1,5,3,4,4,2,5,4,2,0
Evil Dead Rise,Lee Cronin,96mn,2023,5,4,1,5,4,1,3,4,5,5,3,4,1,4,3,2,3,2,2,3
Prey,Dan Trachte,100mn,2022,1,1,3,2,2,5,4,0,1,4,1,5,4,0,2,1,3,2,1,3
The Visit,M. Night Shyama lan,94mn,2015,3,2,4,4,3,2,0,0,1,4,0,1,0,5,3,1,5,0,4,0
Last Night in Soho,Edgar Wright,116mn,2021,5,0,5,3,1,3,2,1,2,2,2,0,2,0,4,4,4,1,4,1
