Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
80 for Brady,Kyle Marvin,98 min,2023,5,1,3,5,2,5,4,5,5,3,0,0,3,3,2,5,0,4,4,0
True Spirit,Sarah Spillane,109 min,2023,2,1,3,3,5,5,0,4,5,1,0,4,1,0,2,4,2,5,3,2
Creed III,Michael B. Jordan,116 min,2023,5,5,4,4,2,2,3,3,0,5,1,0,1,5,4,5,4,0,2,0
Ford v Ferrari,James Mangold,152 min,2019,4,4,4,3,3,5,2,2,0,0,2,1,3,5,0,5,2,2,1,1
Rocky,John G. Avildsen,120 min,1976,5,2,4,3,4,4,3,1,4,3,3,4,3,0,0,5,1,3,1,4
Happy Gilmore,Dennis Dugan,92 min,1996,1,0,2,3,5,3,5,1,4,0,2,3,3,5,0,0,1,0,1,2
White Men Can't Jump,Calmatic,101 min,2023,5,4,3,3,5,5,3,1,0,2,0,3,4,3,1,2,1,5,1,5
Cars,"John Lasseter, Joe Ranft",117 min,2006,1,1,3,5,2,5,2,0,1,3,0,2,0,4,5,1,4,2,3,0
Hustle,Jeremiah Zagar,117 min,2022,4,5,1,2,0,2,3,2,5,1,5,3,3,4,4,3,1,2,3,4
Slap Shot,George Roy Hill,123 min,1977,5,4,3,1,1,5,0,0,2,1,2,4,4,5,4,0,0,2,3,5
The Swimmers,Sally El Hosaini,134 min,2022,3,1,3,2,3,4,0,3,0,4,1,0,2,0,2,4,3,0,3,5
The Longest Yard,Peter Segal,113 min,2005,5,0,4,3,1,2,4,1,1,0,4,1,4,3,4,0,2,4,5,3
Creed,Ryan Coogler,133 min,2015,5,1,5,1,4,5,3,4,1,4,1,5,1,0,4,2,2,1,3,5
Moneyball,Bennett Miller,133 min,2011,0,2,3,1,5,1,5,2,4,1,3,2,0,4,4,3,1,4,3,4
Jerry Maguire,Cameron Crowe,139 min,1996,5,3,1,3,5,1,0,5,3,5,4,2,1,0,0,2,5,1,1,3
Big George Foreman,George Tillman Jr.,129 min,2023,1,2,1,4,3,3,4,3,4,5,4,0,5,2,5,5,4,0,1,3
She's the Man,Andy Fickman,105 min,2006,0,1,5,2,0,2,4,2,1,4,2,4,1,2,0,0,2,3,0,1
Warrior,Gavin O'Connor,140 min,2011,1,2,0,3,4,5,3,4,5,5,2,3,4,0,5,5,1,4,2,3
The Karate Kid,John G. Avildsen,126 min,1984,0,0,0,2,4,0,2,3,1,3,1,3,5,5,5,0,2,0,1,3
Creed II,Steven Caple Jr.,130 min,2018,2,3,3,5,2,3,1,2,5,1,4,1,3,2,1,3,2,5,4,3
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,108 min,2006,2,1,0,3,1,4,1,1,0,4,2,2,5,2,4,4,2,4,5,1
The Blind Side,John Lee Hancock,129 min,2009,0,3,3,4,3,5,2,4,1,5,5,5,1,2,2,1,3,3,4,0
Remember the Titans,Boaz Yakin,113 min,2000,3,1,2,1,5,2,2,1,1,3,4,2,5,1,4,4,5,2,5,0
Major League,David S. Ward,107 min,1989,4,3,1,4,0,0,1,2,3,5,3,5,3,1,5,3,0,3,0,1
White Men Can't Jump,Ron Shelton,115 min,1992,4,1,4,3,3,4,1,5,2,2,0,1,0,4,3,1,5,5,2,1
42,Brian Helgeland,128 min,2013,4,5,3,1,2,0,5,0,0,4,2,1,3,4,4,2,1,0,2,3
Dodgeball,Rawson Marshall Thurber,92 min,2004,4,0,0,5,4,4,2,4,5,2,0,1,5,1,1,0,2,2,1,0
"I, Tonya",Craig Gillespie,119 min,2017,1,2,3,0,0,3,1,4,2,5,4,1,4,1,4,1,5,4,2,4
A League of Their Own,Penny Marshall,128 min,1992,2,3,0,5,3,4,1,2,2,0,3,0,2,2,4,4,0,5,4,1
Molly's Game,Aaron Sorkin,140 min,2017,2,0,1,3,0,5,1,4,1,3,2,3,1,1,5,2,2,1,4,0
Unbroken,Angelina Jolie,137 min,2014,4,0,3,0,1,4,4,5,1,3,0,4,0,4,0,3,5,2,4,3
The Waterboy,Frank Coraci,90 min,1998,2,1,0,0,4,4,5,1,5,1,1,0,1,3,5,2,3,5,3,5
Rocky IV,Sylvester Stallone,91 min,1985,5,0,3,3,4,2,3,3,3,1,0,1,3,3,0,5,0,2,5,3
Coach Carter,Thomas Carter,136 min,2005,1,5,2,0,2,2,0,3,1,2,5,5,0,0,5,1,3,2,2,5
Rocky Balboa,Sylvester Stallone,102 min,2006,4,4,3,4,0,1,2,2,1,5,4,2,5,3,5,0,4,3,5,0
Champions,Bobby Farrelly,123 min,2023,0,0,5,2,4,0,2,0,5,0,0,1,3,4,5,2,2,5,2,0
Kingpin,"Bobby Farrelly, Peter Farrelly",114 min,1996,2,3,3,4,1,5,2,1,1,3,2,5,1,0,2,3,3,1,2,3
Chariots of Fire,Hugh Hudson,125 min,1981,4,3,5,0,2,5,3,1,0,3,4,5,1,0,0,0,3,3,1,4
