Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
Black Panther: Wakanda Forever,Ryan Coogler,161 min,2022,4,2,3,1,5,2,5,3,2,2,2,2,4,3,3,5,1,4,1,1
Knock at the Cabin,M. Night Shyamalan,100 min,2023,4,2,5,0,2,2,5,5,3,3,2,4,3,1,3,0,3,0,4,2
Plane,Jean-François Richet,107 min,2023,0,2,2,4,2,0,5,5,1,2,3,1,0,5,1,5,0,5,0,3
The Menu,Mark Mylod,107 min,2022,0,5,1,3,5,4,1,4,2,5,0,0,2,0,5,4,5,0,5,2
Fast X,Louis Leterrier,,2023,4,0,1,3,4,0,4,1,4,1,2,5,0,0,5,5,0,4,1,4
M3GAN,Gerard Johnstone,102 min,2022,4,4,1,0,4,0,3,3,2,5,5,1,0,1,0,1,1,1,2,2
Ant-Man and the Wasp: Quantumania,Peyton Reed,125 min,2023,3,4,3,5,2,3,2,4,3,5,0,0,5,4,4,3,3,5,1,4
Bullet Train,David Leitch,127 min,2022,2,1,1,5,0,2,4,2,5,2,4,3,1,3,1,5,5,2,0,5
Glass Onion,Rian Johnson,139 min,2022,4,5,2,4,2,2,3,3,2,4,4,2,4,5,3,0,2,3,4,5
Viking Wolf,Stig Svendsen,97 min,2022,2,4,3,0,2,0,1,1,5,0,2,0,2,5,1,4,1,0,5,2
Infinity Pool,Brandon Cronenberg,117 min,2023,5,1,2,2,4,1,0,2,1,2,4,0,0,4,3,1,0,1,2,5
Scream VI,"Matt Bettinelli-Olpin, Tyler Gillett",123 min,2023,2,4,0,5,3,0,5,3,4,5,3,5,3,4,1,0,3,2,0,5
Cocaine Bear,Elizabeth Banks,95 min,2023,3,0,5,4,3,4,0,5,1,3,1,4,4,3,1,1,5,4,5,3
The Pale Blue Eye,Scott Cooper,128 min,2022,4,5,1,2,1,4,1,1,3,2,3,5,5,3,5,3,3,3,4,0
Pathaan,Siddharth Anand,146 min,2023,4,1,4,0,4,4,0,5,3,2,3,4,1,0,1,4,3,4,5,4
X,Ti West,105 min,2022,5,0,4,4,5,2,2,0,2,5,4,5,0,0,1,3,1,2,3,2
"Alice, Darling",Mary Nighy,89 min,2022,1,0,1,0,0,0,2,4,3,2,0,0,3,5,2,1,3,5,1,3
Teen Wolf: The Movie,Russell Mulcahy,140 min,2023,2,3,5,5,5,3,1,5,5,0,5,2,1,3,4,5,0,1,1,1
Blood,Brad Anderson,108 min,2022,2,0,1,1,2,3,3,0,3,5,5,0,2,0,0,2,0,0,2,5
Infiesto,Patxi Amezcua,96 min,2023,3,1,4,2,2,5,4,4,1,3,0,4,2,1,3,4,5,1,5,1
Amsterdam,David O. Russell,134 min,2022,2,4,5,5,2,1,5,3,4,0,3,3,4,1,4,4,3,4,1,3
The Batman,Matt Reeves,176 min,2022,0,2,1,0,0,4,4,0,4,1,0,0,2,3,3,1,4,5,4,4
Baby Ruby,Bess Wohl,93 min,2022,4,5,4,2,1,2,4,3,1,3,4,3,2,0,1,3,3,4,0,4
Where the Crawdads Sing,Olivia Newman,125 min,2022,4,1,1,0,3,4,2,5,5,0,0,0,1,2,0,5,5,3,0,3
Knives Out,Rian Johnson,130 min,2019,2,2,1,1,1,5,3,4,4,3,3,3,5,3,5,1,3,1,0,3
Barbarian,Zach Cregger,102 min,2022,1,3,0,2,4,0,1,3,2,0,0,0,5,2,1,3,3,5,3,4
Missing,"Nicholas D. Johnson, Will Merrick",111 min,2023,2,5,4,5,0,3,3,2,3,0,5,5,2,2,2,0,5,4,2,1
Don't Worry Darling,Olivia Wilde,123 min,2022,2,1,2,2,1,2,5,2,5,1,1,5,1,0,0,4,5,0,5,0
