Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
All Quiet on the Western Front,Edward Berger,148 min,2022,3,0,1,5,1,3,4,5,2,2,3,5,3,3,4,0,4,3,0,1
Jojo Rabbit,Taika Waititi,108 min,2019,2,4,4,2,4,2,5,2,4,5,1,1,5,1,5,4,2,3,0,3
Devotion,J.D. Dillard,139 min,2022,4,0,4,4,5,5,3,3,1,0,2,3,2,0,1,5,5,3,0,1
Narvik: Hitler's First Defeat,Erik Skjoldbjærg,108 min,2022,1,4,5,5,2,3,3,1,5,1,3,1,3,0,2,0,2,2,0,5
The Expendables 4,Scott Waugh,,2023,3,1,1,4,3,2,5,4,5,2,3,5,2,0,4,2,1,2,1,1
Inglourious Basterds,Quentin Tarantino,153 min,2009,0,1,4,0,3,2,1,4,4,0,0,5,3,3,0,5,5,0,4,5
Dunkirk,Christopher Nolan,106 min,2017,5,0,3,5,3,2,0,2,2,3,1,0,0,2,4,4,3,2,2,2
Apocalypse Now,Francis Ford Coppola,147 min,1979,2,2,5,3,0,1,5,1,3,5,5,1,0,3,3,4,0,5,3,2
Edge of Tomorrow,Doug Liman,113 min,2014,5,0,4,1,5,2,3,2,4,0,3,4,3,0,2,2,4,5,3,5
Official Secrets,Sam Mendes,119 min,2019,2,4,2,4,2,1,5,5,1,3,1,2,2,5,2,1,0,0,1,4
Hacksaw Ridge,Mel Gibson,139 min,2016,0,5,4,0,2,3,4,0,3,3,5,3,0,2,4,5,4,2,1,1
The Hunger Games: The Ballad of Songbirds and Snakes,Francis Lawrence,,2023,4,1,0,5,3,4,5,5,0,0,4,0,4,4,5,0,1,3,3,3
Saving Private Ryan,Steven Spielberg,169 min,1998,5,2,3,0,0,2,2,1,0,4,3,5,3,2,0,5,3,1,5,5
Brothers,Jim Sheridan,105 min,2009,1,2,5,0,4,4,5,5,1,4,0,0,4,3,2,4,0,0,3,1
Medieval,Petr Jákl,125 min,2022,1,0,3,0,1,1,5,1,3,3,4,5,1,2,3,0,1,4,2,4
Atonement,Joe Wright,123 min,2007,0,2,4,0,3,1,4,0,0,5,3,3,4,1,2,0,0,3,5,2
Fury,David Ayer,134 min,2014,2,5,4,0,4,3,4,4,3,1,4,5,3,1,4,1,1,2,1,4
Braveheart,Mel Gibson,178 min,1995,5,3,3,3,3,4,5,3,4,3,5,1,2,3,4,3,0,2,3,4
Life Is Beautiful,Roberto Benigni,116 min,1997,2,4,3,2,2,0,3,4,4,2,3,2,1,2,3,3,3,3,5,4
The Pianist,Roman Polanski,150 min,2002,0,1,5,3,5,5,4,3,2,1,4,1,4,4,3,1,1,2,3,4
Operation Mincemeat,John Madden,128 min,2021,4,1,4,0,3,5,1,2,3,2,5,1,0,1,2,5,0,1,1,3
Come and See,Elem Klimov,142 min,1985,4,5,3,1,0,5,5,5,1,3,3,0,0,5,2,2,3,5,1,3
The King,David Michôd,140 min,2019,1,2,5,3,5,1,0,1,2,4,3,2,5,3,3,1,3,5,3,2
The Imitation Game,Morten Tyldum,114 min,2014,3,4,5,3,1,0,2,2,4,4,3,0,1,0,4,4,5,2,4,5
Casablanca,Michael Curtiz,102 min,1942,5,0,2,2,4,0,1,3,2,3,1,4,3,0,1,4,5,2,5,4
Full Metal Jacket,Stanley Kubrick,116 min,1987,0,0,4,1,1,5,4,0,0,2,5,1,3,0,2,0,4,5,4,1
Wonder Woman,Patty Jenkins,141 min,2017,3,3,4,3,0,1,1,3,4,3,2,1,2,4,1,2,1,1,2,5
Kingdom of Heaven,Ridley Scott,144 min,2005,3,4,1,2,1,1,4,0,3,2,3,1,0,0,5,3,2,3,0,0
Tropic Thunder,Ben Stiller,107 min,2008,5,0,0,2,2,5,5,5,0,4,0,1,1,5,2,1,0,4,2,1
Malena,Giuseppe Tornatore,108 min,2000,1,2,3,0,2,0,2,1,1,4,0,1,0,4,3,4,0,2,4,5
Red Dawn,John Milius,114 min,1984,3,0,4,2,5,4,2,3,4,3,2,3,0,4,4,3,1,3,0,2
All Quiet on the Western Front,Lewis Milestone,152 min,1930,1,0,2,5,4,5,5,1,0,3,3,4,0,4,5,5,5,4,1,3
Black Hawk Down,Ridley Scott,144 min,2001,3,3,0,1,1,5,5,4,0,1,3,5,4,5,4,5,5,1,3,5
Pan's Labyrinth,Guillermo del Toro,118 min,2006,1,4,3,0,5,3,2,5,4,3,4,2,3,0,0,5,0,0,4,5
Army of the Dead,Zack Snyder,148 min,2021,3,2,3,5,0,1,2,1,1,1,2,0,1,4,0,1,5,4,2,5
The Forgotten Battle,Matthijs van Heijningen Jr.,124 min,2020,4,4,5,5,5,0,3,4,5,5,2,2,3,1,5,2,3,1,5,5
Gone with the Wind,"Victor Fleming,George Cukor,Sam Wood",238 min,1939,0,0,5,1,4,1,4,0,3,1,1,5,3,3,2,0,0,0,3,1
Pearl Harbor,Michael Bay,183 min,2001,5,1,2,5,4,4,2,2,1,5,2,2,3,3,3,2,3,3,4,4
The Deer Hunter,Michael Cimino,183 min,1978,2,0,2,4,4,1,3,2,2,0,4,0,5,0,1,2,3,3,5,1
13 Hours,Michael Bay,144 min,2016,5,1,1,4,3,3,2,1,3,0,2,0,1,4,5,0,3,1,0,0
Platoon,Oliver Stone,120 min,1986,0,4,0,4,1,1,5,5,4,3,2,1,3,0,4,0,2,1,2,5
Lawrence of Arabia,David Lean,218 min,1962,5,3,4,0,1,1,4,4,2,2,1,4,3,2,1,1,2,4,2,5
Zero Dark Thirty,Kathryn Bigelow,157 min,2012,4,1,4,1,4,5,2,4,5,4,0,3,0,0,2,3,3,5,0,0
The Last of the Mohicans,Michael Mann,112 min,1992,5,4,3,1,4,4,2,0,3,2,1,5,5,2,1,2,2,1,5,5
Downfall,Oliver Hirschbiegel,156 min,2004,1,0,2,1,1,2,5,2,1,4,1,5,4,5,3,3,2,1,4,4
The Boy in the Striped Pajamas,Mark Herman,94 min,2008,3,3,1,3,2,1,1,1,4,4,1,1,3,1,1,0,5,4,5,0
The Hurt Locker,Kathryn Bigelow,131 min,2008,1,2,5,2,0,0,0,2,1,2,5,4,0,1,4,1,1,1,1,1
The Thin Red Line,Terrence Malick,170 min,1998,5,3,5,1,0,1,5,0,4,2,3,2,1,0,2,3,4,2,1,4
Grave of the Fireflies,Isao Takahata,89 min,1988,0,0,1,3,4,2,3,1,4,3,3,2,0,0,2,2,2,4,5,4
Greyhound,Aaron Schneider,91 min,2020,5,2,2,2,3,3,0,2,2,5,3,5,0,2,4,0,5,1,3,4
Lone Survivor,Peter Berg,121 min,2013,3,0,0,4,2,2,2,4,4,5,0,4,3,5,4,4,4,2,4,4
The Post,Steven Spielberg,116 min,2017,5,0,5,1,3,0,2,3,0,5,5,1,3,0,0,2,1,1,3,5
Unbroken,Angelina Jolie,137 min,2014,4,5,5,2,1,4,1,2,5,1,4,5,4,4,1,0,5,5,5,1
Napoleon,Ridley Scott,,,3,0,3,1,4,1,4,4,1,3,1,1,3,1,5,5,1,4,4,4
The Greatest Beer Run Ever,Peter Farrelly,126 min,2022,4,3,4,2,3,4,3,5,1,1,0,1,0,5,1,3,5,0,4,1
Mulan,"Tony Bancroft, Barry Cook",87 min,1998,5,1,2,0,4,3,1,1,3,5,2,4,0,3,4,0,2,5,1,0
American Sniper,Clint Eastwood,133 min,2014,4,1,5,0,5,5,4,1,0,5,3,0,4,2,1,3,0,1,1,4
Midway,Roland Emmerich,138 min,2019,2,2,3,0,1,1,5,4,1,2,2,1,1,3,2,2,2,1,3,4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,95 min,1964,0,1,2,3,4,2,1,5,5,5,1,3,5,3,5,4,1,3,0,1
Master and Commander: The Far Side of the World,Peter Weir,138 min,2003,5,0,0,0,3,2,0,0,4,3,2,4,1,1,5,2,3,5,0,1
The Patriot,Roland Emmerich,165 min,2000,0,5,4,2,3,5,4,1,2,2,2,0,4,2,3,3,0,5,2,5
The English Patient,Anthony Minghella,162 min,1996,4,3,2,5,0,1,4,4,3,0,4,3,1,4,5,2,1,5,1,0
War Dogs,Todd Phillips,114 min,2016,4,5,0,0,4,3,1,3,0,4,3,3,4,3,4,0,0,0,1,2
Legends of the Fall,Edward Zwick,133 min,1994,3,4,1,3,3,1,3,2,2,4,0,3,4,2,1,1,4,5,2,3
Bridge of Spies,Steven Spielberg,142 min,2015,2,1,3,0,5,5,2,3,1,3,3,5,3,1,5,4,5,3,0,2
Darkest Hour,Joe Wright,125 min,2017,0,0,3,5,2,2,4,3,5,4,5,1,0,2,3,0,4,0,3,0
Lincoln,Steven Spielberg,150 min,2012,5,1,1,2,2,2,4,0,2,4,4,5,5,1,3,1,4,5,3,0
Crimson Tide,Tony Scott,116 min,1995,5,4,0,0,4,2,4,3,2,4,1,1,5,2,1,0,3,5,4,5
The Great Escape,John Sturges,172 min,1963,2,2,5,4,2,1,5,4,1,0,4,4,2,1,5,5,1,0,0,0
Behind Enemy Lines,John Moore,106 min,2001,3,0,3,2,3,5,2,3,0,4,5,0,3,3,3,5,0,4,5,5
Outlaw King,David Mackenzie,121 min,2018,4,2,0,1,3,5,4,4,0,4,3,2,1,1,3,3,0,2,4,3
Stripes,Ivan Reitman,106 min,1981,0,1,3,5,4,2,5,3,1,2,5,2,5,4,3,0,5,2,2,3
Defiance,Edward Zwick,137 min,2008,2,1,5,5,1,4,4,0,0,0,2,5,0,5,0,4,3,5,5,4
Alexander,Oliver Stone,175 min,2004,1,0,4,0,3,5,5,1,1,1,1,1,5,0,1,3,2,2,4,4
The Boat,Wolfgang Petersen,149 min,1981,1,5,4,3,3,3,5,0,1,3,4,0,1,4,4,3,1,4,2,1
Doctor Zhivago,David Lean,197 min,1965,0,0,2,2,0,5,1,1,0,3,4,3,0,0,5,1,0,1,1,2
12 Strong,Nicolai Fuglsig,130 min,2018,0,5,5,5,0,2,3,3,1,1,0,4,5,2,5,0,4,3,0,2
The Courier,Dominic Cooke,112 min,2020,0,4,4,4,2,3,1,5,4,0,5,0,3,0,0,2,4,5,2,2
Empire of the Sun,Steven Spielberg,153 min,1987,5,1,0,3,3,1,4,5,4,0,0,4,3,5,5,5,3,2,4,2
Barry Lyndon,Stanley Kubrick,185 min,1975,5,3,3,2,1,3,2,4,3,2,0,0,2,4,1,4,4,0,2,4
